id,name
32,aaloe
33,aalto
54,aamen
129,aaria
143,aarre
195,aatos
196,aatra
201,aatto
428,ahava
431,ahdas
448,ahdin
475,ahkio
480,ahmia
484,ahnas
496,ahtaa
518,ahven
528,aidas
563,aihio
564,aijai
661,aikoa
732,aines
744,ainoa
751,ainut
756,aioli
766,airut
773,aisti
802,aitio
805,aitoa
817,aitta
819,aivan
870,aivot
893,ajaja
1015,ajelu
1095,ajuri
1099,akana
1196,aktio
1371,alati
1378,alava
1446,aleta
1479,alias
1480,alibi
1483,alien
1584,alkaa
1619,alkio
1792,allas
1875,aloke
1885,alppi
1910,altis
1934,altto
1984,aluke
2004,aluna
2077,ambra
2082,ameba
2219,ammis
2230,ammua
2233,ammus
2241,ammuu
2265,ampua
2423,anime
2440,ankea
2445,ankka
2476,annos
2498,anodi
2499,anoja
2531,ansas
2535,ansio
2565,antaa
2600,anti‑
2683,apaja
2698,apeus
2700,apila
2707,apina
2718,apnea
2741,appaa
2768,appsi
2785,apsis
2827,apuri
2838,arabi
2856,arava
2876,argon
2882,arina
2969,arkki
2970,arkki
2971,arkki
2992,arkku
3014,armas
3046,aromi
3075,arpoa
3134,arvio
3268,asana
3311,asema
3331,asemo
3373,asete
3530,askar
3550,askel
3634,astia
3650,astin
3653,astma
3676,astua
3705,asuja
3720,asuma
3802,atari
3838,atlas
3847,atomi
3883,atto‑
3893,audio
3904,aueta
3909,aukea
3914,aukio
3918,aukko
3924,aukoa
3942,aulio
3943,aulis
3948,aunus
4036,aussi
4044,autio
4058,auto‑
4208,avain
4247,avara
4297,avata
4300,avaus
4369,avoin
4496,azeri
4499,baana
4500,baari
4501,baari
4523,bagel
4570,balsa
4582,bambu
4603,banjo
4607,bantu
4625,barbi
4627,bardi
4657,baski
4662,basso
4678,baudi
4696,bebee
4697,bebop
4703,beesi
4704,beeta
4716,beibi
4717,beige
4730,bensa
4795,bidee
4804,biisi
4829,bilsa
4830,bimbo
4838,bingo
4893,biomi
4941,bisse
4945,bitti
4968,blini
4975,blogi
4990,blues
5018,boksi
5019,boksi
5035,bongo
5039,bonus
5043,booli
5047,boomi
5050,boori
5078,botti
5111,bravo
5163,bromi
5217,bukee
5234,bulla
5244,burka
5254,bussi
5270,buumi
5271,buuri
5276,bygga
5291,bändi
5292,bänet
5293,bänks
5295,bänät
5297,börek
5313,cameo
5383,chili
5395,chips
5410,civis
5453,cover
5455,crack
5456,crema
5478,curry
5484,daami
5496,dandy
5498,darra
5499,darts
5528,debet
5534,dedis
5542,deeku
5576,deka‑
5590,dekki
5609,delta
5682,depis
5696,derby
5712,desi‑
5878,diili
5879,diiva
5892,dildo
5903,diodi
5935,dippi
5954,disko
6006,dogmi
6050,donna
6057,dorka
6063,doula
6113,drone
6142,durra
6144,duuma
6148,duuni
6149,duuri
6176,dyyni
6180,eagle
6183,ebola
6243,edetä
6327,eeden
6331,eepos
6335,eesti
6338,eetos
6396,eheys
6408,ehkei
6409,ehken
6438,ehtiä
6447,ehtoo
